PRES,TEMP,THCK,SWAT,POROM,POROF,PERMM,PERMF,FRACS,VLCH4,PLCH4,VLCO2,PLCO2,QINJ,QPROD,TPROD,PWFPROD,PFRAC,LX,LY,LWELL,LFRAC,SRVPORO,SRVPERM,SRVSPAC,T1,TINJ,Gi
3289.6,196,235.6,8.3,8.09,0.66,4.35E-05,0.000766,1.67,150,745.6,437,790.3,261.4,7745.22,11966.6,979.03,3827.1,6576.6,607.16,4608.5,337.2,0.87,0.009,1.024,10.48,1.40E+04,3649712
7100.9,145.6,227.9,10.9,7.41,1.18,3.52E-06,0.000829,2.54,159,200.4,369.9,735.4,213.8,5904.23,17626.8,2454.28,9521,5082.5,1604.48,3419,909.1,1.53,0.0037,1.467,12.81,1.80E+04,3863619
5776,134.9,168.7,10.2,6.6,1.34,8.55E-05,0.000144,1.64,223.6,664.9,815.3,337.2,150.4,2176.38,14097.4,2669.42,7580.1,6613.2,1010.2,4839.2,515.7,1.74,0.0013,0.684,18.21,1.50E+04,2191058
7318,159,249.4,5,9.04,1.32,3.89E-05,0.000256,2.42,178.2,577.6,742.5,278.5,48.6,4226.56,9193.6,1498.5,9172.3,3566.3,1156.2,2622.7,595.6,1.69,0.0028,1.807,56.36,1.50E+04,736962
6223.1,121.7,247.7,6.9,6.08,1.96,5.41E-05,0.000924,3,92.8,508.9,530.8,837.3,286,4698.43,9174.4,1095.76,7172.4,3309.3,621.67,2601,481.2,2.39,0.0035,1.811,9.58,9.70E+03,2762583
6057.4,127.3,202,7.1,5.82,0.68,1.66E-05,0.00034,2.88,226.9,796.2,539.2,923.1,197.2,6539.37,14155.6,2262.67,7805.8,6413.3,1257.26,4561.8,762,0.91,0.0036,1.198,13.89,1.50E+04,2917484
6563.8,132,159.6,8.3,6.94,0.52,7.81E-06,0.000799,0.96,113.9,439.9,274.9,239.5,53.9,7449.6,17262.6,3071.26,7252.3,6627.7,601.52,4213.3,400.5,0.77,0.0046,0.533,50.81,2.00E+04,1069823
6114.7,160.2,284.9,8.3,8.37,1.34,2.28E-05,0.000605,2.17,80.6,728.1,411.8,585.3,161.1,3239.23,14063.1,1704.41,9057.2,3186,527.6,2292.4,301.3,1.75,0.0033,1.163,17,1.50E+04,2383077
4488.9,136.9,280.6,6.3,5.91,0.65,1.06E-05,0.000491,1.29,189.8,339.1,1018.6,824.6,320.1,5570.79,9728,440.62,6623.5,6382.8,365.2,4334.1,276.5,0.82,0.0033,0.703,8.56,1.10E+04,3588005
4786.4,135,247.6,9.9,6.08,1.21,2.43E-05,0.00067,1.36,133.1,560,334.4,719.7,129.9,4356.98,8973,1627.73,7040.2,3791.2,1429.21,2892.7,854,1.46,0.0048,0.987,21.09,1.10E+04,1424187
5987.5,120.4,163.6,7.4,7.11,1.77,9.55E-05,0.001027,1.89,98.3,216,574.6,662.9,214.1,13924.7,14451.7,1067.26,8091.9,7352.1,539.49,4896.5,279.2,2.33,0.0052,1.477,12.79,1.50E+04,3306590
7630.5,187.7,200,5.6,7.59,1.89,5.99E-05,0.000754,2.79,180.9,978.7,982,620.9,156.2,17225.6,17878.8,1495.44,9615.9,6426.9,1264.96,4100.3,825.3,2.67,0.0069,1.866,17.54,2.10E+04,3325343
7303.7,142.7,289.9,9.3,7.75,0.98,1.85E-05,0.000741,2.76,176.9,737.4,500.1,878.2,387.8,5455.31,8104.6,2939.39,9686,5556.2,1007.95,3881.2,689.2,1.38,0.0034,2.044,7.06,8.60E+03,3353707
6583.7,121.4,273.3,8,7.15,1.89,3.35E-05,0.000563,2.68,120.5,762.4,315.1,212.1,198.7,2268.06,14801.2,2632.31,7601,3528.6,940.77,2797.7,704.5,2.83,0.0021,1.189,13.79,1.50E+04,3018052
5320.5,160.9,271.8,13.5,7.93,1.79,3.30E-05,0.000304,1.88,151.3,784.7,522.9,486.7,166,4958.7,8396.1,1426.09,6040.2,7435.6,512.68,4879.6,330.3,2.34,0.0027,1.222,16.5,1.10E+04,1870081
